Dataset_name,Field_name,Data_type,Description,Notes
Alerts,app,string,"The system, service, or application that generated the alert event. Examples include, but are not limited to the following: GuardDuty, SecurityCenter, 3rd party services, win:app:trendmicro, vmware, nagios.","recommended
required for pytest-splunk-addon"
Alerts,body,string,The body of a message. This field is deprecated in favor of description.,required for pytest-splunk-addon
Alerts,description,string,The description of the alert event.,
Alerts,dest,string,"The object that is the target of the alert event. Examples include an email address, SNMP trap, or virtual machine id. You can alias this from more specific fields, such as dest_host, dest_ip, or dest_name.","recommended
required for pytest-splunk-addon"
Alerts,dest_bunit,string,The business unit associated with the destination. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
Alerts,dest_category,string,The category of the destination. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
Alerts,dest_priority,string,The priority of the destination. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
Alerts,dest_type,string,"The type of the destination object, such as instance, storage, firewall.",
Alerts,id,string,The unique identifier of the alert event.,required for pytest-splunk-addon
Alerts,mitre_technique_id,string,"The MITRE ATT&CK technique ID of the alert event, searchable at https://attack.mitre.org/techniques.",
Alerts,severity,string,"The severity of the alert event.Note: This field is a string. Specific values are required. Use the severity_id field for severity ID fields that are integer data types. Specific values are required. Use vendor_severity for the vendor's own human-readable strings (such as Good, Bad, Really Bad, and so on).","recommended
required for pytest-splunk-addon
prescribed values:critical, high, medium, low, informational, unknown"
Alerts,severity_id,string,The numeric or vendor specific severity indicator corresponding to the event severity.,
Alerts,signature_id,string,"The unique ID that identifies the vendor specific policy or rule that generated the alert event.
For example:

Policy:IAMUser/RootCredentialUsage.
0x00011f00",recommended
Alerts,src,string,"The object that is the actor of the alert event. You can alias this from more specific fields, such as src_host, src_ip, or src_name.",recommended
Alerts,src_bunit,string,The business unit associated with the source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
Alerts,src_category,string,The category of the source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
Alerts,src_priority,string,The priority of the source. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
Alerts,src_type,string,"The type of the source object, such as instance, storage, firewall.",
Alerts,subject,string,The message subject. This field is deprecated in favor of signature.,
Alerts,tag,string,This automatically generated field is used to access tags from within data models. Do not define extractions for this field when writing add-ons.,
Alerts,type,string,The alert event type.,"recommended
required for pytest-splunk-addon
prescribed values:alarm, alert, event, task, warning, unknown"
Alerts,user,string,The user involved in the alert event.,recommended
Alerts,user_bunit,string,The business unit of the user involved in the alert event. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
Alerts,user_category,string,The category of the user involved in the alert event. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
Alerts,user_name,string,The name of the user involved in the alert event.,recommended
Alerts,user_priority,string,The priority of the user involved in the alert event. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.,
Alerts,vendor_account,string,"The account associated with the alert event. The account represents the organization, or a Cloud  customer or a Cloud account.",
Alerts,vendor_region,string,"The data center region involved in the alert event, such as us-west-2.",
All_Application_State,dest,string,"The compute resource where the service is installed. You can alias this from more specific fields, such as dest_host, dest_ip, or dest_name.",recommended
All_Application_State,dest_bunit,string,,These fields are automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for these fields when writing add-ons.
All_Application_State,dest_category,string,,
All_Application_State,dest_priority,string,,
All_Application_State,dest_requires_av,boolean,,
All_Application_State,dest_should_timesync,boolean,,
All_Application_State,dest_should_update,boolean,,
All_Application_State,process,string,"The name of a process or service file, such as sqlsrvr.exe or httpd.Note: This field is not appropriate for service or daemon names, such as SQL Server or Apache Web Server. Service or daemon names belong to the service field (see below).",recommended
All_Application_State,process_name,string,The name of a process.,
All_Application_State,tag,string,This automatically generated field is used to access tags from within data models. Do not define extractions for this field when writing add-ons.,
All_Application_State,user,string,"The user account the service is running as, such as System or httpdsvc.",
Ports,dest_port,number,"Network ports communicated to by the process, such as 53.",recommended
Ports,transport,string,"The network ports listened to by the application process, such as tcp, udp, etc.",recommended
Ports,transport_dest_port,string,"Calculated as transport/dest_port, such as tcp/53.",
Processes,cpu_load_mhz,number,CPU Load in megahertz,
Processes,cpu_load_percent,number,CPU Load in percent,
Processes,cpu_time,string,CPU Time,
Processes,mem_used,number,Memory used in bytes,
Services,service,string,"The name of the service, such as SQL Server or Apache Web Server.Note: This field is not appropriate for filenames, such as sqlsrvr.exe or httpd. Filenames should belong to the process field instead. Also, note that field is a string. Use the service_id field for service ID fields that are integer data types.",recommended
Services,service_id,string,A numeric indicator for a service.,recommended
Services,start_mode,string,The start mode for the service.,"disabled, manual, auto.recommended"
Services,status,string,The status of the service.,"critical, started, stopped, warningrecommended"
Authentication,action,string,The action performed on the resource.,"Prescribed values: success, failure, pending, errorRecommended. Also, required for pytest-splunk-addon"
Authentication,app,string,The application involved in the event.,"ssh splunk win:localsignin.amazonaws.comRecommended. Also, required for pytest-splunk-addon"
Authentication,authentication_method,string,The method used to authenticate the request.,Optional
Authentication,authentication_service,string,The service used to authenticate the request.,"Okta, ActiveDirectory, AzureADOptional"
Authentication,dest,string,The target host involved in the authentication. You can alias this from more specific fields.,"dest_host, dest_ip,  dest_nt_hostRecommended"
Authentication,dest_bunit,string,The business unit of the authentication target.,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,dest_category,string,The category of the authentication target.,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.email_server or SOX-compliant
Authentication,dest_nt_domain,string,"The name of the Active Directory used by the authentication target, if applicable.",
Authentication,dest_priority,string,The priority of the authentication target.,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,duration,number,"The amount of time for the completion of the authentication event, in seconds.",
Authentication,process,number,"The full path and the name of the executable for the process that attempted the log in. For example, it is a ""Process Name"" in Windows such as C:\Windows\System32\svchost.exe.",Optional
Authentication,reason_id,string,"The reason for login failure. For example ""0xC0000234"".",Optional
Authentication,response_time,number,"The amount of time it took to receive a response in the authentication event, in seconds.",
Authentication,signature,string,A human-readable signature name.,
Authentication,signature_id,string,The unique identifier or event code of the event signature.,
Authentication,src,string,The source involved in the authentication. In the case of endpoint protection authentication the src is the client.,"You can alias this from more specific fields.src_host, src_ip, or src_nt_host.Do not confuse src with the event source or sourcetype fields.Recommended"
Authentication,src_bunit,string,The business unit of the authentication source.,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,src_category,string,The category of the authentication source.,email_server or SOX-compliant
Authentication,src_nt_domain,string,"The name of the Active Directory used by the authentication source, if applicable.",
Authentication,src_priority,string,The priority of the authentication source.,This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,src_user,string,"In privilege escalation events, src_user represents the user who initiated the privilege escalation.",This field is unnecessary when an escalation has not been performed.Recommended
Authentication,src_user_bunit,string,The business unit of the user who initiated the privilege escalation.,This field is unnecessary when an escalation has not been performed. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,src_user_category,string,The category of the user who initiated the privilege escalation.,This field is unnecessary when an escalation has not been performed.This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,src_user_id,string,The unique id of the user who initiated the privilege escalation.,This field is unnecessary when an escalation has not been performed.
Authentication,src_user_priority,string,The priority of the user who initiated the privilege escalation.,This field is unnecessary when an escalation has not been performed. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,src_user_role,string,The role of the user who initiated the privilege escalation.,This field is unnecessary when an escalation has not been performed.
Authentication,src_user_type,string,The type of the user who initiated the privilege escalation.,This field is unnecessary when an escalation has not been performed.
Authentication,tag,string,This automatically-generated field is used to access tags from within data models.,Do not define extractions for this field when writing add-ons.
Authentication,user,string,The actual string or identifier that a user is logging in with.,"This is the user involved in the event, or who initiated the event. For authentication privilege escalation events, this should represent the user string or identifier targeted by the escalation. Recommended. Also, required for pytest-splunk-addon"
Authentication,user_agent,string,The user agent through which the request was made.Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) or aws-cli/2.0.0 Python/3.7.4 Darwin/18.7.0 botocore/2.0.0dev4,
Authentication,user_bunit,string,"The business unit of the user involved in the event, or who initiated the event.",For authentication privilege escalation events this should represent the user targeted by the escalation. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons.
Authentication,user_category,string,"The category of the user involved in the event, or who initiated the event.","For authentication privilege escalation events, this should represent the user targeted by the escalation. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons."
Authentication,user_id,string,The unique id of the user involved in the event.,"For authentication privilege escalation events, this should represent the user targeted by the escalation."
Authentication,user_priority,string,"The priority of the user involved in the event, or who initiated the event.","For authentication privilege escalation events, this should represent the user targeted by the escalation. This field is automatically provided by asset and identity correlation features of applications like Splunk Enterprise Security. Do not define extractions for this field when writing add-ons."
Authentication,user_role,string,"The role of the user involved in the event, or who initiated the event.","For authentication privilege escalation events, this should represent the user role targeted by the escalation."
Authentication,user_type,string,"The type of the user involved in the event or who initiated the event.IAMUser, Admin, or System.","For authentication privilege escalation events, this should represent the user type targeted by the escalation."
All_Certificates,dest,string,The target in the certificate management event.,
All_Certificates,dest_bunit,string,The business unit of the target.This field is automatically provided by Asset and Identity correlation features of applications like Splunk Enterprise Security.,
