ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description,Id
9.1.0-dev,TRUE,base,@timestamp,date,core,,2016-05-23T08:05:34.853Z,Date/time when the event originated.,field0001
9.1.0-dev,TRUE,base,labels,object,core,,"{""application"": ""foo-bar"", ""env"": ""production""}",Custom key/value pairs.,field0002
9.1.0-dev,TRUE,base,message,match_only_text,core,,Hello World,Log message optimized for viewing in a log viewer.,field0003
9.1.0-dev,TRUE,base,tags,keyword,core,array,"[""production"", ""env2""]",List of keywords used to tag each event.,field0004
9.1.0-dev,TRUE,agent,agent.build.original,keyword,core,,"metricbeat version 7.6.0 (amd64), libbeat 7.6.0 [6a23e8f8f30f5001ba344e4e54d8d9cb82cb107c built 2020-02-05 23:10:10 +0000 UTC]",Extended build information for the agent.,field0005
9.1.0-dev,TRUE,agent,agent.ephemeral_id,keyword,extended,,8a4f500f,Ephemeral identifier of this agent.,field0006
9.1.0-dev,TRUE,agent,agent.id,keyword,core,,8a4f500d,Unique identifier of this agent.,field0007
9.1.0-dev,TRUE,agent,agent.name,keyword,core,,foo,Custom name of the agent.,field0008
9.1.0-dev,TRUE,agent,agent.type,keyword,core,,filebeat,Type of the agent.,field0009
9.1.0-dev,TRUE,agent,agent.version,keyword,core,,6.0.0-rc2,Version of the agent.,field0010
9.1.0-dev,TRUE,client,client.address,keyword,extended,,,Client network address.,field0011
9.1.0-dev,TRUE,client,client.as.number,long,extended,,15169,Unique number allocated to the autonomous system.,field0012
9.1.0-dev,TRUE,client,client.as.organization.name,keyword,extended,,Google LLC,Organization name.,field0013
9.1.0-dev,TRUE,client,client.as.organization.name.text,match_only_text,extended,,Google LLC,Organization name.,field0014
9.1.0-dev,TRUE,client,client.bytes,long,core,,184,Bytes sent from the client to the server.,field0015
9.1.0-dev,TRUE,client,client.domain,keyword,core,,foo.example.com,The domain name of the client.,field0016
9.1.0-dev,TRUE,client,client.geo.city_name,keyword,core,,Montreal,City name.,field0017
9.1.0-dev,TRUE,client,client.geo.continent_code,keyword,core,,NA,Continent code.,field0018
9.1.0-dev,TRUE,client,client.geo.continent_name,keyword,core,,North America,Name of the continent.,field0019
9.1.0-dev,TRUE,client,client.geo.country_iso_code,keyword,core,,CA,Country ISO code.,field0020
9.1.0-dev,TRUE,client,client.geo.country_name,keyword,core,,Canada,Country name.,field0021
9.1.0-dev,TRUE,client,client.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.,field0022
9.1.0-dev,TRUE,client,client.geo.name,keyword,extended,,boston-dc,User-defined description of a location.,field0023
9.1.0-dev,TRUE,client,client.geo.postal_code,keyword,core,,94040,Postal code.,field0024
9.1.0-dev,TRUE,client,client.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.,field0025
9.1.0-dev,TRUE,client,client.geo.region_name,keyword,core,,Quebec,Region name.,field0026
9.1.0-dev,TRUE,client,client.geo.timezone,keyword,core,,America/Argentina/Buenos_Aires,Time zone.,field0027
9.1.0-dev,TRUE,client,client.ip,ip,core,,,IP address of the client.,field0028
9.1.0-dev,TRUE,client,client.mac,keyword,core,,00-00-5E-00-53-23,MAC address of the client.,field0029
9.1.0-dev,TRUE,client,client.nat.ip,ip,extended,,,Client NAT ip address,field0030
9.1.0-dev,TRUE,client,client.nat.port,long,extended,,,Client NAT port,field0031
9.1.0-dev,TRUE,client,client.packets,long,core,,12,Packets sent from the client to the server.,field0032
9.1.0-dev,TRUE,client,client.port,long,core,,,Port of the client.,field0033
9.1.0-dev,TRUE,client,client.registered_domain,keyword,extended,,example.com,"The highest registered client domain, stripped of the subdomain.",field0034
9.1.0-dev,TRUE,client,client.subdomain,keyword,extended,,east,The subdomain of the domain.,field0035
9.1.0-dev,TRUE,client,client.top_level_domain,keyword,extended,,co.uk,"The effective top level domain (com, org, net, co.uk).",field0036
9.1.0-dev,TRUE,client,client.user.domain,keyword,extended,,,Name of the directory the user is a member of.,field0037
9.1.0-dev,TRUE,client,client.user.email,keyword,extended,,,User email address.,field0038
9.1.0-dev,TRUE,client,client.user.full_name,keyword,extended,,Albert Einstein,"User's full name, if available.",field0039
9.1.0-dev,TRUE,client,client.user.full_name.text,match_only_text,extended,,Albert Einstein,"User's full name, if available.",field0040
9.1.0-dev,TRUE,client,client.user.group.domain,keyword,extended,,,Name of the directory the group is a member of.,field0041
9.1.0-dev,TRUE,client,client.user.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.,field0042
9.1.0-dev,TRUE,client,client.user.group.name,keyword,extended,,,Name of the group.,field0043
9.1.0-dev,TRUE,client,client.user.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.,field0044
9.1.0-dev,TRUE,client,client.user.id,keyword,core,,S-1-5-21-202424912787-2692429404-2351956786-1000,Unique identifier of the user.,field0045
9.1.0-dev,TRUE,client,client.user.name,keyword,core,,a.einstein,Short name or login of the user.,field0046
9.1.0-dev,TRUE,client,client.user.name.text,match_only_text,core,,a.einstein,Short name or login of the user.,field0047
9.1.0-dev,TRUE,client,client.user.roles,keyword,extended,array,"[""kibana_admin"", ""reporting_user""]",Array of user roles at the time of the event.,field0048
9.1.0-dev,TRUE,cloud,cloud.account.id,keyword,extended,,6.66778E+11,The cloud account or organization id.,field0049
9.1.0-dev,TRUE,cloud,cloud.account.name,keyword,extended,,elastic-dev,The cloud account name.,field0050
9.1.0-dev,TRUE,cloud,cloud.availability_zone,keyword,extended,,us-east-1c,"Availability zone in which this host, resource, or service is located.",field0051
9.1.0-dev,TRUE,cloud,cloud.instance.id,keyword,extended,,i-1234567890abcdef0,Instance ID of the host machine.,field0052
9.1.0-dev,TRUE,cloud,cloud.instance.name,keyword,extended,,,Instance name of the host machine.,field0053
9.1.0-dev,TRUE,cloud,cloud.machine.type,keyword,extended,,t2.medium,Machine type of the host machine.,field0054
9.1.0-dev,TRUE,cloud,cloud.origin.account.id,keyword,extended,,6.66778E+11,The cloud account or organization id.,field0055
9.1.0-dev,TRUE,cloud,cloud.origin.account.name,keyword,extended,,elastic-dev,The cloud account name.,field0056
9.1.0-dev,TRUE,cloud,cloud.origin.availability_zone,keyword,extended,,us-east-1c,"Availability zone in which this host, resource, or service is located.",field0057
9.1.0-dev,TRUE,cloud,cloud.origin.instance.id,keyword,extended,,i-1234567890abcdef0,Instance ID of the host machine.,field0058
9.1.0-dev,TRUE,cloud,cloud.origin.instance.name,keyword,extended,,,Instance name of the host machine.,field0059
9.1.0-dev,TRUE,cloud,cloud.origin.machine.type,keyword,extended,,t2.medium,Machine type of the host machine.,field0060
9.1.0-dev,TRUE,cloud,cloud.origin.project.id,keyword,extended,,my-project,The cloud project id.,field0061
9.1.0-dev,TRUE,cloud,cloud.origin.project.name,keyword,extended,,my project,The cloud project name.,field0062
9.1.0-dev,TRUE,cloud,cloud.origin.provider,keyword,extended,,aws,Name of the cloud provider.,field0063
9.1.0-dev,TRUE,cloud,cloud.origin.region,keyword,extended,,us-east-1,"Region in which this host, resource, or service is located.",field0064
9.1.0-dev,TRUE,cloud,cloud.origin.service.name,keyword,extended,,lambda,The cloud service name.,field0065
9.1.0-dev,TRUE,cloud,cloud.project.id,keyword,extended,,my-project,The cloud project id.,field0066
9.1.0-dev,TRUE,cloud,cloud.project.name,keyword,extended,,my project,The cloud project name.,field0067
9.1.0-dev,TRUE,cloud,cloud.provider,keyword,extended,,aws,Name of the cloud provider.,field0068
9.1.0-dev,TRUE,cloud,cloud.region,keyword,extended,,us-east-1,"Region in which this host, resource, or service is located.",field0069
9.1.0-dev,TRUE,cloud,cloud.service.name,keyword,extended,,lambda,The cloud service name.,field0070
9.1.0-dev,TRUE,cloud,cloud.target.account.id,keyword,extended,,6.66778E+11,The cloud account or organization id.,field0071
9.1.0-dev,TRUE,cloud,cloud.target.account.name,keyword,extended,,elastic-dev,The cloud account name.,field0072
9.1.0-dev,TRUE,cloud,cloud.target.availability_zone,keyword,extended,,us-east-1c,"Availability zone in which this host, resource, or service is located.",field0073
9.1.0-dev,TRUE,cloud,cloud.target.instance.id,keyword,extended,,i-1234567890abcdef0,Instance ID of the host machine.,field0074
9.1.0-dev,TRUE,cloud,cloud.target.instance.name,keyword,extended,,,Instance name of the host machine.,field0075
9.1.0-dev,TRUE,cloud,cloud.target.machine.type,keyword,extended,,t2.medium,Machine type of the host machine.,field0076
9.1.0-dev,TRUE,cloud,cloud.target.project.id,keyword,extended,,my-project,The cloud project id.,field0077
9.1.0-dev,TRUE,cloud,cloud.target.project.name,keyword,extended,,my project,The cloud project name.,field0078
9.1.0-dev,TRUE,cloud,cloud.target.provider,keyword,extended,,aws,Name of the cloud provider.,field0079
9.1.0-dev,TRUE,cloud,cloud.target.region,keyword,extended,,us-east-1,"Region in which this host, resource, or service is located.",field0080
9.1.0-dev,TRUE,cloud,cloud.target.service.name,keyword,extended,,lambda,The cloud service name.,field0081
9.1.0-dev,TRUE,container,container.cpu.usage,scaled_float,extended,,,"Percent CPU used, between 0 and 1.",field0082
9.1.0-dev,TRUE,container,container.disk.read.bytes,long,extended,,,The number of bytes read by all disks.,field0083
9.1.0-dev,TRUE,container,container.disk.write.bytes,long,extended,,,The number of bytes written on all disks.,field0084
9.1.0-dev,TRUE,container,container.id,keyword,core,,,Unique container id.,field0085
9.1.0-dev,TRUE,container,container.image.hash.all,keyword,extended,array,[sha256:f8fefc80e3273dc756f288a63945820d6476ad64883892c771b5e2ece6bf1b26],An array of digests of the image the container was built on.,field0086
9.1.0-dev,TRUE,container,container.image.name,keyword,extended,,,Name of the image the container was built on.,field0087
9.1.0-dev,TRUE,container,container.image.tag,keyword,extended,array,,Container image tags.,field0088
9.1.0-dev,TRUE,container,container.labels,object,extended,,,Image labels.,field0089
9.1.0-dev,TRUE,container,container.memory.usage,scaled_float,extended,,,"Percent memory used, between 0 and 1.",field0090
9.1.0-dev,TRUE,container,container.name,keyword,extended,,,Container name.,field0091
9.1.0-dev,TRUE,container,container.network.egress.bytes,long,extended,,,The number of bytes sent on all network interfaces.,field0092
9.1.0-dev,TRUE,container,container.network.ingress.bytes,long,extended,,,The number of bytes received on all network interfaces.,field0093
9.1.0-dev,TRUE,container,container.runtime,keyword,extended,,docker,Runtime managing this container.,field0094
