Package,Logtype,Documentation_URL
1password,1password,https://github.com/elastic/integrations/tree/main/packages/1password
abnormal_security,abnormal_security,https://github.com/elastic/integrations/tree/main/packages/abnormal_security
activemq,activemq,https://github.com/elastic/integrations/tree/main/packages/activemq
admin_by_request_epm,admin_by_request_epm,https://github.com/elastic/integrations/tree/main/packages/admin_by_request_epm
airflow,airflow,https://github.com/elastic/integrations/tree/main/packages/airflow
akamai,akamai,https://github.com/elastic/integrations/tree/main/packages/akamai
amazon_security_lake,amazon_security_lake,https://github.com/elastic/integrations/tree/main/packages/amazon_security_lake
apache,apache,https://github.com/elastic/integrations/tree/main/packages/apache
apache_spark,apache_spark,https://github.com/elastic/integrations/tree/main/packages/apache_spark
apache_tomcat,apache_tomcat,https://github.com/elastic/integrations/tree/main/packages/apache_tomcat
apm,apm,https://github.com/elastic/integrations/tree/main/packages/apm
arista_ngfw,arista_ngfw,https://github.com/elastic/integrations/tree/main/packages/arista_ngfw
armis,armis,https://github.com/elastic/integrations/tree/main/packages/armis
atlassian_bitbucket,atlassian_bitbucket,https://github.com/elastic/integrations/tree/main/packages/atlassian_bitbucket
atlassian_confluence,atlassian_confluence,https://github.com/elastic/integrations/tree/main/packages/atlassian_confluence
atlassian_jira,atlassian_jira,https://github.com/elastic/integrations/tree/main/packages/atlassian_jira
auditd,auditd,https://github.com/elastic/integrations/tree/main/packages/auditd
auditd_manager,auditd_manager,https://github.com/elastic/integrations/tree/main/packages/auditd_manager
auth0,auth0,https://github.com/elastic/integrations/tree/main/packages/auth0
authentik,authentik,https://github.com/elastic/integrations/tree/main/packages/authentik
aws,aws,https://github.com/elastic/integrations/tree/main/packages/aws
awsfargate,awsfargate,https://github.com/elastic/integrations/tree/main/packages/awsfargate
awsfirehose,awsfirehose,https://github.com/elastic/integrations/tree/main/packages/awsfirehose
aws_bedrock,aws_bedrock,https://github.com/elastic/integrations/tree/main/packages/aws_bedrock
aws_logs,aws_logs,https://github.com/elastic/integrations/tree/main/packages/aws_logs
aws_mq,aws_mq,https://github.com/elastic/integrations/tree/main/packages/aws_mq
azure,azure,https://github.com/elastic/integrations/tree/main/packages/azure
azure_application_insights,azure_application_insights,https://github.com/elastic/integrations/tree/main/packages/azure_application_insights
azure_app_service,azure_app_service,https://github.com/elastic/integrations/tree/main/packages/azure_app_service
azure_billing,azure_billing,https://github.com/elastic/integrations/tree/main/packages/azure_billing
azure_blob_storage,azure_blob_storage,https://github.com/elastic/integrations/tree/main/packages/azure_blob_storage
azure_frontdoor,azure_frontdoor,https://github.com/elastic/integrations/tree/main/packages/azure_frontdoor
azure_functions,azure_functions,https://github.com/elastic/integrations/tree/main/packages/azure_functions
azure_logs,azure_logs,https://github.com/elastic/integrations/tree/main/packages/azure_logs
azure_metrics,azure_metrics,https://github.com/elastic/integrations/tree/main/packages/azure_metrics
azure_network_watcher_nsg,azure_network_watcher_nsg,https://github.com/elastic/integrations/tree/main/packages/azure_network_watcher_nsg
azure_network_watcher_vnet,azure_network_watcher_vnet,https://github.com/elastic/integrations/tree/main/packages/azure_network_watcher_vnet
azure_openai,azure_openai,https://github.com/elastic/integrations/tree/main/packages/azure_openai
barracuda,barracuda,https://github.com/elastic/integrations/tree/main/packages/barracuda
barracuda_cloudgen_firewall,barracuda_cloudgen_firewall,https://github.com/elastic/integrations/tree/main/packages/barracuda_cloudgen_firewall
bbot,bbot,https://github.com/elastic/integrations/tree/main/packages/bbot
beaconing,beaconing,https://github.com/elastic/integrations/tree/main/packages/beaconing
beat,beat,https://github.com/elastic/integrations/tree/main/packages/beat
beelzebub,beelzebub,https://github.com/elastic/integrations/tree/main/packages/beelzebub
beyondinsight_password_safe,beyondinsight_password_safe,https://github.com/elastic/integrations/tree/main/packages/beyondinsight_password_safe
beyondtrust_pra,beyondtrust_pra,https://github.com/elastic/integrations/tree/main/packages/beyondtrust_pra
bitdefender,bitdefender,https://github.com/elastic/integrations/tree/main/packages/bitdefender
bitwarden,bitwarden,https://github.com/elastic/integrations/tree/main/packages/bitwarden
blacklens,blacklens,https://github.com/elastic/integrations/tree/main/packages/blacklens
bluecoat,bluecoat,https://github.com/elastic/integrations/tree/main/packages/bluecoat
box_events,box_events,https://github.com/elastic/integrations/tree/main/packages/box_events
canva,canva,https://github.com/elastic/integrations/tree/main/packages/canva
carbonblack_edr,carbonblack_edr,https://github.com/elastic/integrations/tree/main/packages/carbonblack_edr
carbon_black_cloud,carbon_black_cloud,https://github.com/elastic/integrations/tree/main/packages/carbon_black_cloud
cassandra,cassandra,https://github.com/elastic/integrations/tree/main/packages/cassandra
cef,cef,https://github.com/elastic/integrations/tree/main/packages/cef
cel,cel,https://github.com/elastic/integrations/tree/main/packages/cel
ceph,ceph,https://github.com/elastic/integrations/tree/main/packages/ceph
checkpoint,checkpoint,https://github.com/elastic/integrations/tree/main/packages/checkpoint
checkpoint_email,checkpoint_email,https://github.com/elastic/integrations/tree/main/packages/checkpoint_email
checkpoint_harmony_endpoint,checkpoint_harmony_endpoint,https://github.com/elastic/integrations/tree/main/packages/checkpoint_harmony_endpoint
cisa_kevs,cisa_kevs,https://github.com/elastic/integrations/tree/main/packages/cisa_kevs
cisco_aironet,cisco_aironet,https://github.com/elastic/integrations/tree/main/packages/cisco_aironet
cisco_asa,cisco_asa,https://github.com/elastic/integrations/tree/main/packages/cisco_asa
cisco_duo,cisco_duo,https://github.com/elastic/integrations/tree/main/packages/cisco_duo
cisco_ftd,cisco_ftd,https://github.com/elastic/integrations/tree/main/packages/cisco_ftd
cisco_ios,cisco_ios,https://github.com/elastic/integrations/tree/main/packages/cisco_ios
cisco_ise,cisco_ise,https://github.com/elastic/integrations/tree/main/packages/cisco_ise
cisco_meraki,cisco_meraki,https://github.com/elastic/integrations/tree/main/packages/cisco_meraki
cisco_meraki_metrics,cisco_meraki_metrics,https://github.com/elastic/integrations/tree/main/packages/cisco_meraki_metrics
cisco_nexus,cisco_nexus,https://github.com/elastic/integrations/tree/main/packages/cisco_nexus
cisco_secure_email_gateway,cisco_secure_email_gateway,https://github.com/elastic/integrations/tree/main/packages/cisco_secure_email_gateway
cisco_secure_endpoint,cisco_secure_endpoint,https://github.com/elastic/integrations/tree/main/packages/cisco_secure_endpoint
cisco_umbrella,cisco_umbrella,https://github.com/elastic/integrations/tree/main/packages/cisco_umbrella
citrix_adc,citrix_adc,https://github.com/elastic/integrations/tree/main/packages/citrix_adc
citrix_waf,citrix_waf,https://github.com/elastic/integrations/tree/main/packages/citrix_waf
claroty_ctd,claroty_ctd,https://github.com/elastic/integrations/tree/main/packages/claroty_ctd
claroty_xdome,claroty_xdome,https://github.com/elastic/integrations/tree/main/packages/claroty_xdome
cloudflare,cloudflare,https://github.com/elastic/integrations/tree/main/packages/cloudflare
