log_id,generated_regex
1,(?<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}Z)\s+(?<server>server\d+)\s+(?<component>DatabaseConnector)\s+\[(?<level>INFO)\]:\s+Operation\s+started\s+for\s+user\s+(?<user_id>\d+)
2,"(?P<month>\d{2})\s+(?P<day>\d{2})\s+(?P<year>\d{4})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<ip>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+<(?P<source_id>[^>]+)>\s+(?P<field1>\d+)\s+(?P<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{6}[+-]\d{4})\s+(?P<source_host>[^\s]+)\s+(?P<destination_host>[^\s]+)\s+-\s+-\s+-\s+(?P<leef_version>LEEF:\d\.\d)\|(?P<vendor>[^\|]+)\|(?P<product>[^\|]+)\|(?P<version>[^\|]+)\|(?P<event_id>\d+)\|(?P<event_name>[^\|]+)\|(?P<severity>[^\|]+)\|(?P<category>[^=]+)='(?P<category_value>[^']+)'\s+id=(?P<alert_id>\d+)\s+src=(?P<source_ip>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+dst=(?P<destination_ip>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+pt=(?P<port>\d+)\s+PtName=(?P<port_name>[^\s]+)\s+SrcName=(?P<source_name>[^\s]+)\s+DstName=(?P<destination_name>[^\s]+)\s+SrcMac=(?P<source_mac>[^:]+:[^:]+:[^:]+:[^:]+:[^:]+:[^:]+)\s+DstMac=(?P<destination_mac>[^:]+:[^:]+:[^:]+:[^:]+:[^:]+:[^:]+)\s+SrcVendor=(?P<source_vendor>[^\s]+)\s+DstVendor=(?P<destination_vendor>[^\s]+)\s+SrcType=(?P<source_type>[^\s]+)\s+DstType=(?P<destination_type>[^\s]+)"
3,(?<date>\d{2}/\d{2}/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>\w+)\s+(?<class>spark\.SecurityManager):\s+SecurityManager:\s+authentication\s+disabled;\s+ui\s+acls\s+disabled;\s+users\s+with\s+view\s+permissions:\s+Set\((?<view_users>.*?)\);\s+users\s+with\s+modify\s+permissions:\s+Set\((?<modify_users>.*?)\)
4,"(?<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s+(?<log_level>INFO)\s+\[(?<event_handler>AsyncDispatcher\sevent\shandler)\]\s+(?<class_name>org\.apache\.hadoop\.mapreduce\.v2\.app\.job\.impl\.TaskImpl):\s+(?<task_id>task_\d{13}_\d{4}_\w_\d{6})\s+(?<message>Task\sTransitioned\sfrom\sNEW\sto\SCHEDULED)"
5,\[([\d.]+)\s+([\d:]+)\]\s+(.*?)\s+-\s+(.*?)\s+open\s+through\s+proxy\s+(.*?)\s+(HTTPS)
6,(?<date>\d{2}\/\d{2}\/\d{2})\s+(?<time>\d{2}:\d{2}:\d{2})\s+(?<log_level>\w+)\s+(?<class>[^:]+):\s+(?<message>.+?)\s+'(?<service_name>[^']+)'(?:\s+on\s+port\s+(?<port>\d+))?
7,\s*(?<timestamp>\d+)\s+(?<date>\d{4}\.\d{2}\.\d{2})\s+(?<source>[^:\s]+:[^:\s]+)\s+(?<datetime>\d{4}-\d{2}-\d{2}-\d{2}\.\d{2}\.\d{2}\.\d+)\s+(?<destination>[^:\s]+:[^:\s]+)\s+(?<module>[^\s]+)\s+(?<level>[^\s]+)\s+(?<message>generating\s+core\.\d+)
8,(?P<month>\w{3})\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>.*?)\s+(?P<service>.*?)(?:\[(?P<pid>\d+)\])?:\s+(?P<module>.*?)(?:\((?P<type>.*?):(?P<subtype>.*?)\))?:\s+(?P<message>.*?)
9,<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>
10,"<(\d+)>\s+(\w+)\s+\d+\s+\d{2}:\d{2}:\d{2}\s+(\S+)\s+(\d+\/\d{2}\/\d{4}\s+\d{2}:\d{2}:\d{2})\,\,(\w+)\,(\w+)\,(\d+)\,(\d+\/\d{2}\/\d{4}\s+\d{2}:\d{2}:\d{2})\,\,(\w+-\w+)\,\,(\d+)\,(\d+)\,(\w+)\,(\w+)\,\""(.*?)\""\,(\d+)\,0x[0-9a-fA-F]+\,(\d+)\,(\d+)\,(\d+)\,(\d+)\,(\d+)\,\,(\S+)\,(\d+)\,(\d+)\,(\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{4})"
