"log_id","log_text","generated_regex"
"1","2025-03-07T11:37:22.109Z server52 DatabaseConnector [INFO]: Operation started for user 520","(?P<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}Z)\s+(?P<host>server\d+)\s+(?P<application>DatabaseConnector)\s+\[(?P<severity>INFO)\]\:\s+Operation\s+started\s+for\s+user\s+(?P<user_id>\d+)"
"2","02 21 2025 12:33:42 197.158.9.211 <SAU1:ALRT> 1 2023-08-30T16:33:46.846392+08:00 IL-LAB-RDF01 IL-LAB-RDF01 - - - LEEF:2.0|radiflow|isid|6.5.11.14|71|OS-WINDOWS DCERPC NCACN-IP-TCP srvsvc NetrPathCanonicalize overflow attempt|High|cat='Cyber' id=20 src=192.168.120.250 dst=192.168.120.234 pt=445 PtName=SMB SrcName=192.168.120.250 DstName=192.168.10.24 SrcMac=00:0C:19:FF:61:3F DstMac=00:21:31:10:33:CD SrcVendor=VMware, Inc. DstVendor=Hewlett Packard SrcType=Server DstType=Server","(?P<Month>\d{2})\s+(?P<Day>\d{2})\s+(?P<Year>\d{4})\s+(?P<Time>\d{2}:\d{2}:\d{2})\s+(?P<Source_IP>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+<(?P<Device_ID>[^>]+)>\s+(?P<Event_ID>\d+)\s+(?P<Timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{6}[+-]\d{4})\s+(?P<System_Name>[^\s]+)\s+(?P<System_Name_Repeat>[^\s]+)\s+-\s+-\s+-\s+(?P<LEEF_Version>LEEF:\d\.\d)\|(?P<Device_Vendor>[^\|]+)\|(?P<Device_Product>[^\|]+)\|(?P<Device_Version>[^\|]+)\|(?P<Event_Category>[^\|]+)\|(?P<Event_Name>[^\|]+)\|(?P<Severity>[^\|]+)\|cat='(?P<Category>[^']+)' id=(?P<Event_ID_Detail>\d+) src=(?P<Source_IP_Detail>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}) dst=(?P<Destination_IP>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}) pt=(?P<Destination_Port>\d+) PtName=(?P<Destination_Port_Name>[^\s]+) SrcName=(?P<Source_Name>[^\s]+) DstName=(?P<Destination_Name>[^\s]+) SrcMac=(?P<Source_MAC>[^\s]+) DstMac=(?P<Destination_MAC>[^\s]+) SrcVendor=(?P<Source_Vendor>[^\s]+)\s*,\s*(?P<Destination_Vendor>[^\s]+) SrcType=(?P<Source_Type>[^\s]+) DstType=(?P<Destination_Type>[^\s]+)"
"3","17/06/09 20:10:40 INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)","(?P<date>\d{2}/\d{2}/\d{2})\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<log_level>[A-Z]+)\s+(?P<source>spark\.SecurityManager):\s+SecurityManager:\s+authentication\s+disabled;\s+ui\s+acls\s+disabled;\s+users\s+with\s+view\s+permissions:\s+Set\((?P<view_users>[^)]*)\);\s+users\s+with\s+modify\s+permissions:\s+Set\((?P<modify_users>[^)]*)\)"
"4","2015-10-18 18:01:53,869 INFO [AsyncDispatcher event handler] org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl: task_1445144423722_0020_m_000001 Task Transitioned from NEW to SCHEDULED","(?P<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s+(?P<log_level>[A-Z]+)\s+\[(?P<thread_name>.*?)\]\s+(?P<class_name>.*?)\s*:\s*(?P<task_id>.*?)\s+(?P<message>.*?)"
"5","[10.30 17:10:37] chrome.exe - proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS","\[\s*(?<timestamp>\d{2}\.\d{2}\s+\d{2}:\d{2}:\d{2})\s*\]\s*(?<process_name>chrome\.exe)\s+-\s+(?<proxy_host>proxy\.cse\.cuhk\.edu\.hk)\:(?<proxy_port>\d{4})\s+(?<action>open\s+through\s+proxy)\s+\k<proxy_host>\:\k<proxy_port>\s+(?<protocol>HTTPS)"
"6","17/06/09 20:10:41 INFO util.Utils: Successfully started service 'sparkExecutorActorSystem' on port 55904.","(?P<date>\d{2}\/\d{2}\/\d{2})\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<log_level>[A-Z]+)\s+(?P<class_name>[\w\.]+):\s+(?P<message>.+?)"
"7","- 1117989508 2005.06.05 R36-M0-NA-C:J17-U01 2005-06-05-09.38.28.957918 R36-M0-NA-C:J17-U01 RAS KERNEL INFO generating core.1172","(?<timestamp>\d+)\s+(?<date>\d{4}\.\d{2}\.\d{2})\s+(?<device_id>[^ ]+)\s+(?<datetime>\d{4}-\d{2}-\d{2}-\d{2}\.\d{2}\.\d{2}\.\d{6})\s+\k<device_id>\s+(?<process>[^ ]+)\s+(?<severity>[^ ]+)\s+(?<message>.*?)"
"8","Dec 10 07:07:38 LabSZ sshd[24206]: pam_unix(sshd:auth): check pass; user unknown","Dec\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]\:\s+(?<module>\S+)\((?<service>\S+)\)\:\s+(?<action>[^;]+);\s+user\s+(?<username>\S+)"
"9","<Event xmlns='http://schemas.microsoft.com/win/2004/08/events/event'><System><Provider Name='Microsoft-Windows-SystemDataArchiver' Guid='{4389f802-0c4f-56d0-63c6-d77db206d237}'/><EventID>2050</EventID><Version>0</Version><Level>4</Level><Task>0</Task><Opcode>0</Opcode><Keywords>0x8000000000000000</Keywords><TimeCreated SystemTime='2025-03-12T07:17:35.258212200Z'/><EventRecordID>8361459</EventRecordID><Correlation ActivityID='{3debc1ad-5b8d-48c4-ae2c-29e8968f650e}'/><Execution ProcessID='4000' ThreadID='2692'/><Channel>Microsoft-Windows-SystemDataArchiver/Diagnostic</Channel><Computer>KELWIN2019TEST2</Computer><Security UserID='S-1-5-19'/></System><EventData><Data Name='LogString'>[counter_request::Run] Delivered values for request 0x100000000000002 (1 counters).</Data></EventData></Event>","<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>"
"10","<11>Feb  1 01:46:34 PA-VM 1,2025/02/01 01:46:34,,SYSTEM,syslog,2816,2025/02/01 01:46:34,,syslog-conn-status,,0,0,general,high,""Syslog connection failed to server['AF_INET.192.168.20.224:2516.']"",7409859196046341764,0x0,0,0,0,0,,PA-VM,0,0,2025-02-01T01:46:34.896+08:00","<(\d+)>\s+(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\s+\d{1,2}\s+\d{2}:\d{2}:\d{2}\s+(\S+)\s+(\d+/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2})\s*,,\S+,\S+,\d+,\d+/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}\s*,,\S+,,\d+,\d+,\S+,\S+,""(?<message>.+?)"",\d+,\S+,\S+,\S+,\S+,\S+,,\S+,\d+,\d+,(?<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{4})"
