log_id,generated_regex
1,(?P<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}Z)\s+(?P<host>server\d+)\s+(?P<application>DatabaseConnector)\s+\[(?P<severity>INFO)\]\:\s+Operation\s+started\s+for\s+user\s+(?P<user_id>\d+)
2,"(?P<Month>\d{2})\s+(?P<Day>\d{2})\s+(?P<Year>\d{4})\s+(?P<Time>\d{2}:\d{2}:\d{2})\s+(?P<Source_IP>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+<(?P<Device_ID>[^>]+)>\s+(?P<Event_ID>\d+)\s+(?P<Timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{6}[+-]\d{2}:\d{2})\s+(?P<System_Name>[^\s]+)\s+(?P<System_Name_Repeat>[^\s]+)\s+-\s+-\s+-\s+(?P<LEEF_Version>LEEF:\d\.\d)\|(?P<Device_Vendor>[^\|]+)\|(?P<Device_Product>[^\|]+)\|(?P<Device_Version>[^\|]+)\|(?P<Event_Category>[^\|]+)\|(?P<Event_Name>[^\|]+)\|(?P<Severity>[^\|]+)\|cat='(?P<Category>[^']+)' id=(?P<Event_ID_Detail>\d+) src=(?P<Source_IP_Detail>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}) dst=(?P<Destination_IP>\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}) pt=(?P<Destination_Port>\d+) PtName=(?P<Destination_Port_Name>[^\s]+) SrcName=(?P<Source_Name>[^\s]+) DstName=(?P<Destination_Name>[^\s]+) SrcMac=(?P<Source_MAC>[^\s]+) DstMac=(?P<Destination_MAC>[^\s]+) SrcVendor=(?P<Source_Vendor>[^\s]+)\s*,\s*(?P<Destination_Vendor>[^\s]+).*SrcType=(?P<Source_Type>[^\s]+) DstType=(?P<Destination_Type>[^\s]+)"
3,(?P<date>\d{2}/\d{2}/\d{2})\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<log_level>[A-Z]+)\s+(?P<source>spark\.SecurityManager):\s+SecurityManager:\s+authentication\s+disabled;\s+ui\s+acls\s+disabled;\s+users\s+with\s+view\s+permissions:\s+Set\((?P<view_users>[^)]*)\);\s+users\s+with\s+modify\s+permissions:\s+Set\((?P<modify_users>[^)]*)\)
4,"(?P<timestamp>\d{4}-\d{2}-\d{2}\s\d{2}:\d{2}:\d{2},\d{3})\s+(?P<log_level>[A-Z]+)\s+\[(?P<thread_name>.*?)\]\s+(?P<class_name>.*?)\s*:\s*(?P<task_id>.*?)\s+(?P<message>.*?)"
5,\[\s*(?<timestamp>\d{2}\.\d{2}\s+\d{2}:\d{2}:\d{2})\s*\]\s*(?<process_name>chrome\.exe)\s+-\s+(?<proxy_host>proxy\.cse\.cuhk\.edu\.hk)\:(?<proxy_port>\d{4})\s+(?<action>open\s+through\s+proxy)\s+\k<proxy_host>\:\k<proxy_port>\s+(?<protocol>HTTPS)
6,(?P<date>\d{2}\/\d{2}\/\d{2})\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<log_level>[A-Z]+)\s+(?P<class_name>[\w\.]+):\s+(?P<message>.+?)
7,(?<timestamp>\d+)\s+(?<date>\d{4}\.\d{2}\.\d{2})\s+(?<device_id>[^ ]+)\s+(?<datetime>\d{4}-\d{2}-\d{2}-\d{2}\.\d{2}\.\d{2}\.\d{6})\s+\k<device_id>\s+(?<process>[^ ]+)\s+(?<severity>[^ ]+)\s+(?<message>.*?)
8,Dec\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]\:\s+(?<module>\S+)\((?<service>\S+)\)\:\s+(?<action>[^;]+);\s+user\s+(?<username>\S+)
9,<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>
10,"<(\d+)>\s+(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\s+\d{1,2}\s+\d{2}:\d{2}:\d{2}\s+(\S+)\s+(\d+/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2})\s*,,\S+,\S+,\d+,\d+/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}\s*,,\S+,,\d+,\d+,\S+,\S+,""(?<message>.+?)"",\d+,\S+,\S+,\S+,\S+,\S+,,\S+,\d+,\d+,(?<timestamp>\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{4})"
11,"Mar\s+\d{1,2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]\:\s+(?<message>.+)"
12,(?P<timestamp>\d{4}-\d{2}-\d{2}\s+\d{2}:\d{2}:\d{2}\.\d{3})\s+(?P<timezone>\+\d{2}:\d{2})\s+(?P<source>Citect\s\(32\sbit\))\s+\((?P<application>IOServer)\s\[(?P<cluster>Cluster1\.IOServer)\]\)\s+\((?P<pid>PID\s\d{4})\)\s+(?P<event>Startup)\s+(?P<version>8\.20)
13,"(?P<ip>\d+\.\d+\.\d+\.\d+)\s+-\s+-\s+\[(?P<date>[A-Za-z]{3}\s+\d{2}\s+\d{4},\s+\d{2}:\d{2}:\d{2})\]\s+""(?P<method>[A-Z]+)\s+(?P<url>\/.*?)(?P<protocol>HTTP\/\d\.\d)""\s+(?P<status>\d+)\s+(?P<size>\d+)\s+""(?P<referrer>.*?)""\s+""(?P<user_agent>.*?)"""
14,(?P<date>\d{2}/\d{2}/\d{2})\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<log_level>[A-Z]+)\s+(?P<source>Remoting):\s+(?P<message>Remoting\s+started;\s+listening\s+on\s+addresses\s+:)\[(?P<protocol>[^:]+):\/\/(?P<actor_system>[^@]+)@(?P<host>[^:]+):(?P<port>\d+)\]
15,Dec\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]\:\s+input_userauth_request\:\s+invalid\s+user\s+(?<username>\S+)\s+\[(?<status>\S+)\]
16,(?P<month>\w+)\s+(?P<day>\d{2})\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>\S+)\s+(?P<service>\S+)\((?P<subservice>\S+)\)\[(?P<pid>\d+)\]:\s+authentication\s+failure;\s+logname=(?P<logname>.*?)\s+uid=(?P<uid>\d+)\s+euid=(?P<euid>\d+)\s+tty=(?P<tty>\S+)\s+ruser=(?P<ruser>.*?)\s+rhost=(?P<rhost>.*?)\s+user=(?P<user>\S+)
17,(?<timestamp>\d{8}-\d{2}:\d{2}:\d{2}:\d{3})\s+\|(?<source>Step_LSC)\s+\|(?<id>\d+)\s+(?<event>onStandStepChanged)\s+(?<value>\d+)
18,(?P<month>\S+)\s+(?P<day>\d+)\s+(?P<hour>\d{2}):(?P<minute>\d{2}):(?P<second>\d{2})\s+(?P<hostname>\S+)\s+(?P<process>\S+)\[(?P<pid>\d+)\]\:\s+(?P<message>.+?)
19,"<(\d+)>\s+(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\s+(\d{2})\s+(\d{2}:\d{2}:\d{2})\s+(.*?)\s+(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),(\d+),(\w+),(\w+),(\d+),(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),,(.*?),,,(\d+),(\d+),(\w+),(\w+),""([^""]*)"",(\d+),0x(\d+),(\d+),(\d+),(\d+),(\d+),,,(.*?),(\d+),(\d+),(\d{4}-\d{2}-\d{2}T\d{2}:\d{2}:\d{2}\.\d{3}[+-]\d{4})"
20,<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>
21,Mar\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<host>[^\\s]+)\s+(?<process>[^\\s\[]+)\[(?<pid>\d+)\]\:\s+(?<message>.+)
22,(?P<date>\d{2}\/\d{2}\/\d{2})\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<log_level>INFO)\s+(?P<class>executor\.CoarseGrainedExecutorBackend):\s+(?P<message>Registered\s+signal\s+handlers\s+for\s+\[(?P<signals>[^\]]+)\])
23,<Event\s+xmlns='http:\/\/schemas\.microsoft\.com\/win\/2004\/08\/events\/event'><System><Provider\s+Name='(?<ProviderName>.*?)'\s+Guid='(?<ProviderGuid>.*?)'\/><EventID>(?<EventID>.*?)<\/EventID><Version>(?<Version>.*?)<\/Version><Level>(?<Level>.*?)<\/Level><Task>(?<Task>.*?)<\/Task><Opcode>(?<Opcode>.*?)<\/Opcode><Keywords>(?<Keywords>.*?)<\/Keywords><TimeCreated\s+SystemTime='(?<SystemTime>.*?)'\/><EventRecordID>(?<EventRecordID>.*?)<\/EventRecordID><Correlation\s+ActivityID='(?<ActivityID>.*?)'\/><Execution\s+ProcessID='(?<ProcessID>.*?)'\s+ThreadID='(?<ThreadID>.*?)'\/><Channel>(?<Channel>.*?)<\/Channel><Computer>(?<Computer>.*?)<\/Computer><Security\s+UserID='(?<UserID>.*?)'\/><\/System><EventData><Data\s+Name='LogString'>(?<LogString>.*?)<\/Data><\/EventData><\/Event>
24,"<(\d+)>\s+(\w{3})\s+\d{1,2}\s+\d{2}:\d{2}:\d{2}\s+(.*?)\s+(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),,(.*?),(.+?),(\d+),(\d{4}/\d{2}/\d{2}\s+\d{2}:\d{2}:\d{2}),,(.*?),,(.*?),(.+?),(.+?),\""(.*?)\"",(\d+),0x[0-9a-fA-F]+,\d+,\d+,\d+,\d+,,(.*?),\d+,\d+,(.+?)"
25,(?P<month>\w+)\s+(?P<day>\d+)\s+(?P<time>\d{2}:\d{2}:\d{2})\s+(?P<hostname>\S+)\s+(?P<service>\S+)\((?P<subservice>\S+)\)\[(?P<pid>\d+)\]:\s+authentication\s+failure;\s+logname=(?P<logname>.*?)\s+uid=(?P<uid>\d+)\s+euid=(?P<euid>\d+)\s+tty=(?P<tty>.*?)\s+ruser=(?P<ruser>.*?)\s+rhost=(?P<rhost>.*?)\s+user=(?P<user>.*?)
26,Dec\s+\d{2}\s+\d{2}:\d{2}:\d{2}\s+(?<hostname>\S+)\s+(?<process>\S+)\[(?<pid>\d+)\]:\s+reverse\s+mapping\s+checking\s+getaddrinfo\s+for\s+(?<domain>[^\s\[\]]+)\s+\[(?<ip>\d+\.\d+\.\d+\.\d+)\]\s+failed\s+-\s+(?<message>.+?)
